Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,SaleType,SaleCondition,SalePrice,TOTAL_BSMT_SF_SQRT,OPEN_PORCH_SF_SQRT,TOTAL_FLR_SQFT,SOLD_DATE,SOLD_HOW_LONG_AGO,GARAGE_CAPACITY,TOTAL_FLR_SQFT_PER_LOT_AREA
23,20,RL,75.0,9742,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,GasA,Ex,Y,SBrkr,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,2,534,TA,TA,Y,171,0,0,0,0,No,No,No,0,WD,Normal,230000,42.15447781671598,12.609520212918492,1795,2008-09-01,4504,267,0.18425374666392938
24,120,RM,44.0,4224,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,GasA,TA,Y,SBrkr,0,1060,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,Unf,2,572,TA,TA,Y,100,0,0,0,0,No,No,No,0,WD,Normal,129900,32.2490309931942,10.488088481701515,1060,2007-06-01,4962,286,0.2509469696969697
25,20,RL,70.04995836802665,8246,Pave,No,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,GasA,Ex,Y,SBrkr,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,1,270,TA,TA,Y,406,0,0,0,0,No,MnPrv,No,0,WD,Normal,154000,32.55764119219941,9.486832980505138,1060,2010-05-01,3897,270,0.12854717438758187
26,20,RL,110.0,14230,Pave,No,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,GasA,Ex,Y,SBrkr,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3,890,TA,TA,Y,0,0,0,0,0,No,No,No,0,WD,Normal,256300,39.57271787481876,7.483314773547883,1600,2009-07-01,4201,296,0.11243851018973998
27,20,RL,60.0,7200,Pave,No,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,GasA,TA,Y,SBrkr,0,900,0,1,1,0,3,1,Gd,5,Typ,0,No,Detchd,2005.0,Unf,2,576,TA,TA,Y,222,0,0,0,0,No,No,No,0,WD,Normal,134800,30.0,5.656854249492381,900,2010-05-01,3897,288,0.125
28,20,RL,98.0,11478,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,GasA,Ex,Y,SBrkr,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3,772,TA,TA,Y,0,0,0,0,0,No,No,No,0,WD,Normal,306000,41.27953488110059,7.0710678118654755,1704,2010-05-01,3897,257,0.14845791949817042
29,20,RL,47.0,16321,Pave,No,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,GasA,TA,Y,SBrkr,0,1600,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,1,319,TA,TA,Y,288,0,0,0,0,No,No,No,0,WD,Normal,207500,38.52272056851645,16.06237840420901,1600,2006-12-01,5144,319,0.09803320874946388
30,30,RM,60.0,6324,Pave,No,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,GasA,Fa,N,SBrkr,0,520,0,0,1,0,1,1,Fa,4,Typ,0,No,Detchd,1920.0,Unf,1,240,Fa,TA,Y,49,87,0,0,0,No,No,No,0,WD,Normal,68500,22.80350850198276,0.0,520,2008-05-01,4627,240,0.08222643896268185
31,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,GasA,TA,N,SBrkr,0,1317,0,0,1,0,3,1,TA,6,Typ,0,No,Detchd,1920.0,Unf,1,250,TA,Fa,N,0,172,0,0,0,No,MnPrv,No,0,WD,Normal,40000,25.475478405713993,7.3484692283495345,1317,2008-07-01,4566,250,0.15494117647058825
32,20,RL,70.04995836802665,8544,Pave,No,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,GasA,Gd,Y,SBrkr,0,1228,0,0,1,1,3,1,Gd,6,Typ,0,No,Attchd,1966.0,Unf,1,271,TA,TA,Y,0,0,0,0,0,No,MnPrv,No,0,WD,Normal,149350,35.04283093587046,8.06225774829855,1228,2008-06-01,4596,271,0.14372659176029962
33,20,RL,85.0,11049,Pave,No,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,GasA,Ex,Y,SBrkr,0,1234,0,0,2,0,3,1,Gd,7,Typ,0,No,Attchd,2007.0,RFn,2,484,TA,TA,Y,0,0,0,0,0,No,No,No,0,WD,Normal,179900,35.12833614050059,5.477225575051661,1234,2008-01-01,4748,242,0.11168431532265363
34,20,RL,70.0,10552,Pave,No,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,0,380,GasA,Gd,Y,SBrkr,0,1700,0,1,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,1959.0,RFn,2,447,TA,TA,Y,0,0,0,0,0,No,No,No,0,WD,Normal,165500,37.389838191679836,6.164414002968976,1700,2010-04-01,3927,223,0.16110689916603488
35,120,RL,60.0,7313,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,GasA,Ex,Y,SBrkr,0,1561,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,Fin,2,556,TA,TA,Y,203,0,0,0,0,No,No,No,0,WD,Normal,277500,39.50949253027682,6.855654600401044,1561,2007-08-01,4901,278,0.21345549022289073
36,60,RL,108.0,13418,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,GasA,Ex,Y,SBrkr,0,2452,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004.0,Fin,3,691,TA,TA,Y,113,0,0,0,0,No,No,No,0,WD,Normal,309000,33.421549934136806,5.656854249492381,2452,2006-09-01,5235,230,0.18273960351766283
37,20,RL,112.0,10859,Pave,No,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,GasA,Ex,Y,SBrkr,0,1097,0,0,1,1,3,1,TA,6,Typ,0,No,Attchd,1995.0,Unf,2,672,TA,TA,Y,392,0,0,0,0,No,No,No,0,WD,Normal,145000,33.12099032335839,8.0,1097,2009-06-01,4231,336,0.10102219357215213
38,20,RL,74.0,8532,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,0,84,GasA,Gd,Y,SBrkr,0,1297,0,1,1,0,3,1,TA,5,Typ,1,TA,Attchd,1954.0,Fin,2,498,TA,TA,Y,0,0,0,0,0,No,No,No,0,WD,Normal,153000,36.013886210738214,0.0,1297,2009-10-01,4109,249,0.15201593999062354
39,20,RL,68.0,7922,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,326,GasA,TA,Y,SBrkr,0,1057,1,0,1,0,3,1,Gd,5,Typ,0,No,Detchd,1953.0,Unf,1,246,TA,TA,Y,0,0,0,0,0,No,No,No,0,WD,Abnorml,109000,32.51153641401772,7.211102550927978,1057,2010-01-01,4017,246,0.13342590254986114
40,90,RL,65.0,6040,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,TA,TA,PConc,No,No,No,No,0,No,0,0,GasA,TA,N,FuseP,0,1152,0,0,2,0,2,2,Fa,6,Typ,0,No,No,1978.0,No,0,0,No,No,N,0,0,0,0,0,No,No,No,0,WD,AdjLand,82000,0.0,0.0,1152,2008-06-01,4596,0,0.19072847682119207
41,20,RL,84.0,8658,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0,445,GasA,Ex,Y,SBrkr,0,1324,0,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1965.0,RFn,2,440,TA,TA,Y,0,0,0,0,0,No,GdWo,No,0,WD,Abnorml,160000,32.984845004941285,11.74734012447073,1324,2006-12-01,5144,220,0.15292215292215292
42,20,RL,115.0,16905,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,GasA,Gd,Y,SBrkr,0,1328,0,1,1,1,2,1,TA,5,Typ,2,Gd,Attchd,1959.0,RFn,1,308,TA,TA,P,0,0,0,0,0,No,No,No,0,WD,Normal,170000,36.742346141747674,10.198039027185569,1328,2007-07-01,4932,308,0.07855664004732328
43,85,RL,70.04995836802665,9180,Pave,No,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,GasA,Gd,Y,SBrkr,0,884,1,0,1,0,2,1,Gd,5,Typ,0,No,Attchd,1983.0,RFn,2,504,TA,Gd,Y,240,0,0,0,0,No,MnPrv,No,0,WD,Normal,144000,28.982753492378876,0.0,884,2007-12-01,4779,252,0.0962962962962963
44,20,RL,70.04995836802665,9200,Pave,No,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,GasA,TA,Y,SBrkr,0,938,1,0,1,0,3,1,TA,5,Typ,0,No,Detchd,1977.0,Unf,1,308,TA,TA,Y,145,0,0,0,0,No,MnPrv,No,0,WD,Normal,130250,30.62678566222711,0.0,938,2008-07-01,4566,308,0.10195652173913043
45,20,RL,70.0,7945,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,506,465,GasA,Ex,Y,FuseA,0,1150,1,0,1,0,3,1,TA,6,Typ,0,No,Attchd,1959.0,RFn,1,300,TA,TA,Y,0,0,0,0,0,No,No,No,0,WD,Normal,141000,33.91164991562634,0.0,1150,2006-05-01,5358,300,0.144745122718691
